id,contrat,titre,texte,notice,page
avizen:fait:2cbcc3adad:declencheur:0,Avizen,Capital décès toutes causes / Capital IPT toutes causes (garantie principale),décès avant fin de l'année d'assurance des 85 ans,2025-04 Notice d'information Avizen.pdf,11
avizen:fait:2cbcc3adad:declencheur:1,Avizen,Capital décès toutes causes / Capital IPT toutes causes (garantie principale),IPT : consolidation pendant que la garantie est en cours,2025-04 Notice d'information Avizen.pdf,11
avizen:fait:d2f8ad4663:declencheur:0,Avizen,Capital décès par accident / Capital IPT par accident (garantie principale),lien direct accident-décès,2025-04 Notice d'information Avizen.pdf,11
avizen:fait:d2f8ad4663:declencheur:1,Avizen,Capital décès par accident / Capital IPT par accident (garantie principale),décès < 12 mois après l'accident,2025-04 Notice d'information Avizen.pdf,11
avizen:fait:d2f8ad4663:declencheur:2,Avizen,Capital décès par accident / Capital IPT par accident (garantie principale),IPT < 24 mois après l'accident,2025-04 Notice d'information Avizen.pdf,11
avizen:fait:9893112dc5:declencheur:0,Avizen,Rente éducation décès / Rente éducation IPT (garantie principale),décès avant fin de l'année d'assurance des 85 ans,2025-04 Notice d'information Avizen.pdf,12
avizen:fait:9893112dc5:declencheur:1,Avizen,Rente éducation décès / Rente éducation IPT (garantie principale),enfant fiscalement à charge à la date du décès,2025-04 Notice d'information Avizen.pdf,12
avizen:fait:89a1ca75b5:declencheur:0,Avizen,Indemnités journalières ITT toutes causes (optionnelle),arrêt avant la retraite et avant fin de l'année d'assurance des 67 ans,2025-04 Notice d'information Avizen.pdf,13
avizen:fait:89a1ca75b5:declencheur:1,Avizen,Indemnités journalières ITT toutes causes (optionnelle),"exercer une activité professionnelle à la survenance (exclu si chômage, retraite, cessation d'activité)",2025-04 Notice d'information Avizen.pdf,13
avizen:fait:819383df2a:declencheur:0,Avizen,Indemnités journalières ITT par accident (optionnelle),activité professionnelle à la survenance,2025-04 Notice d'information Avizen.pdf,14
avizen:fait:3d298b99e0:declencheur:0,Avizen,Rente invalidité fonctionnelle toutes causes (optionnelle),consolidation pendant la garantie (avant retraite et fin d'année d'assurance des 67 ans),2025-04 Notice d'information Avizen.pdf,15
avizen:fait:3d298b99e0:declencheur:1,Avizen,Rente invalidité fonctionnelle toutes causes (optionnelle),activité professionnelle au fait générateur,2025-04 Notice d'information Avizen.pdf,15
avizen:fait:3d298b99e0:declencheur:2,Avizen,Rente invalidité fonctionnelle toutes causes (optionnelle),taux d'invalidité fonctionnelle ≥ 11 % (accident) ou ≥ 33 % (maladie),2025-04 Notice d'information Avizen.pdf,15
avizen:fait:741ff49939:declencheur:0,Avizen,Capital invalidité permanente partielle ou totale toutes causes (optionnelle),mêmes conditions que la rente toutes causes (taux ≥ 11 % accident / 33 % maladie),2025-04 Notice d'information Avizen.pdf,16
avizen:fait:3bae81cb83:declencheur:0,Avizen,Rente invalidité permanente partielle ou totale par accident (optionnelle),taux d'invalidité fonctionnelle ≥ 11 %,2025-04 Notice d'information Avizen.pdf,16
avizen:fait:15b390b722:declencheur:0,Avizen,Capital invalidité permanente partielle ou totale par accident (optionnelle),taux ≥ 11 %,2025-04 Notice d'information Avizen.pdf,17
avizen:fait:e73c1c5a47:declencheur:0,Avizen,Garantie aide à la famille,avoir souscrit une garantie IJ ITT ET une garantie rente éducation,2025-04 Notice d'information Avizen.pdf,18
avizen:fait:e73c1c5a47:declencheur:1,Avizen,Garantie aide à la famille,enfant à charge < 20 ans nécessitant la présence de l'assuré,2025-04 Notice d'information Avizen.pdf,18
avizen:fait:e73c1c5a47:declencheur:2,Avizen,Garantie aide à la famille,percevoir l'AJPP (art. L544-1 CSS),2025-04 Notice d'information Avizen.pdf,18
avizen:fait:e73c1c5a47:declencheur:3,Avizen,Garantie aide à la famille,suspension temporaire d'activité,2025-04 Notice d'information Avizen.pdf,18
avizen-pro:fait:e6e92c4b61:declencheur:0,Avizen Pro,Capital décès toutes causes / Capital IPT toutes causes + double effet,décès avant fin de l'année d'assurance des 85 ans,2025-04 Notice d'information Avizen Pro (AEP).pdf,11
avizen-pro:fait:cfb98375a0:declencheur:0,Avizen Pro,Capital décès par accident / IPT par accident,décès < 12 mois / IPT < 24 mois après l'accident,2025-04 Notice d'information Avizen Pro (AEP).pdf,11
avizen-pro:fait:6354ec813b:declencheur:0,Avizen Pro,Rente éducation décès / IPT + double effet,enfant fiscalement à charge au décès,2025-04 Notice d'information Avizen Pro (AEP).pdf,12
avizen-pro:fait:e4f8ae15eb:declencheur:0,Avizen Pro,IJ ITT toutes causes (optionnelle),couplage obligatoire avec une garantie décès à l'adhésion,2025-04 Notice d'information Avizen Pro (AEP).pdf,14
avizen-pro:fait:e4f8ae15eb:declencheur:1,Avizen Pro,IJ ITT toutes causes (optionnelle),activité professionnelle à la survenance,2025-04 Notice d'information Avizen Pro (AEP).pdf,14
avizen-pro:fait:b98f6e974d:declencheur:0,Avizen Pro,IJ ITT par accident (optionnelle),activité professionnelle à la survenance,2025-04 Notice d'information Avizen Pro (AEP).pdf,15
avizen-pro:fait:299920232f:declencheur:0,Avizen Pro,IJ toutes causes complémentaires aux régimes obligatoires (optionnelle),activité professionnelle à la survenance,2025-04 Notice d'information Avizen Pro (AEP).pdf,15
avizen-pro:fait:59e1287b10:declencheur:0,Avizen Pro,Indemnités Remboursement des frais professionnels (optionnelle),activité professionnelle à la survenance,2025-04 Notice d'information Avizen Pro (AEP).pdf,16
avizen-pro:fait:59e1287b10:declencheur:1,Avizen Pro,Indemnités Remboursement des frais professionnels (optionnelle),mêmes modalités de service que 2.2.1,2025-04 Notice d'information Avizen Pro (AEP).pdf,16
