id,contrat,titre,texte,notice,page
avizen:cond:94ec71256c,Avizen,,"Adhésion réservée aux membres de l'association ANPERE ; adhérent et assuré résidents en France métropolitaine ou DROM.",2025-04 Notice d'information Avizen.pdf,4
avizen:cond:d07e269637,Avizen,,"Prise d'effet sous réserve : paiement effectif de la 1re cotisation, signature du certificat/bulletin par toutes les parties, acceptation des risques par l'assureur (avec ou sans surprime/exclusion).",2025-04 Notice d'information Avizen.pdf,7
avizen:cond:514a1f7dc2,Avizen,,"Modification des garanties possible jusqu'au 75e anniversaire de l'assuré, demande au moins 2 mois avant la date anniversaire, sous réserve d'acceptation et nouvelle tarification possible.",2025-04 Notice d'information Avizen.pdf,7
avizen:cond:df91ea5e02,Avizen,,"Déplacements : questionnaire « Résidences et Voyages » préalable obligatoire pour déplacements professionnels en pays sensibles, ou personnels en pays sensibles ou > 60 jours/an hors UE, Royaume-Uni, Australie, Canada, Japon, Suisse, États-Unis.",2025-04 Notice d'information Avizen.pdf,6
avizen-pro:cond:7f172f0e1e,Avizen Pro,,"Membres ANPERE ; résidence France métropolitaine ou DROM ; acceptation médicale ; couplage obligatoire des garanties ITT/invalidité avec une garantie décès.",2025-04 Notice d'information Avizen Pro (AEP).pdf,14
avizen-pro:cond:a40b5ef32a,Avizen Pro,,Cadre Madelin : justification annuelle d'être à jour des cotisations maladie/vieillesse obligatoires.,2025-04 Notice d'information Avizen Pro (AEP).pdf,4
avizen-pro:cond:f4e8e8aef2,Avizen Pro,,Modification des garanties jusqu'aux 75 ans de l'assuré (préavis 2 mois avant date anniversaire).,2025-04 Notice d'information Avizen Pro (AEP).pdf,7
entour-age:cond:0757925f45,Entour'Age,,"Conditions cumulatives : résider en France métropolitaine, à Monaco ou dans un DOM ; être ou devenir membre ANPERE (droits d'adhésion) ; se soumettre aux formalités médicales demandées ; avoir entre 40 et 75 ans inclus à la signature (âge par différence de millésimes).",2025-06 Notice d'Information Entour'Age.pdf,6
entour-age:cond:139ae41e9a,Entour'Age,,"Rente à choisir entre 500 et 3 000 €/mois ; choix de formule (Totale seule ou Totale et Partielle) ; tarification particulière possible pour risque aggravé.",2025-06 Notice d'Information Entour'Age.pdf,6
entour-age:cond:2a7fe9c4fc,Entour'Age,,"Modifications en cours d'adhésion : possibles à partir de la 3e année pleine, à jour des cotisations, assuré non dépendant ; amélioration de garanties : assuré ≤ 75 ans, acceptation d'AXA, nouveau délai d'attente sur les garanties supplémentaires.",2025-06 Notice d'Information Entour'Age.pdf,8
essen-ciel-assurance-obseques:cond:969788b935,Essen'Ciel (assurance obsèques),,"Conditions cumulatives : résident fiscal français ; adhérent ANPERE (droits d'adhésion) ; âge entre 50 et 85 ans inclus à la signature (différence de millésimes). Pas de formalité médicale mentionnée dans la notice.",2025-06 Notice d'information Essen'Ciel.pdf,16
essen-ciel-assurance-obseques:cond:9f5521f209,Essen'Ciel (assurance obsèques),,Cotisations temporaires : âge < 90 ans au paiement de la dernière cotisation.,2025-06 Notice d'information Essen'Ciel.pdf,17
excelium-assurance-vie:cond:04d661bd25,Excelium (assurance vie),,"Adhésion ANPERE ; versement initial minimum 300 € (5 000 € en gestion pilotée) ; choix du type de gestion et de la répartition.",2026-05 Notice Excelium Vie.pdf,79
excelium-assurance-vie:cond:24412e8c29,Excelium (assurance vie),,Garantie Revalorisée : réservée aux conventions Fortissimo sans fonds Croissance et aux adhérents < 70 ans.,2026-05 Notice Excelium Vie.pdf,16
ma-protection-accident-garantie-des-accidents-de-la-vie:cond:88e167c83f,Ma Protection Accident (Garantie des accidents de la vie),,"Souscripteur : plus de 18 ans ; résidence principale et foyer fiscal en France métropolitaine, Guadeloupe, Guyane, Réunion, Mayotte ou Martinique pendant toute la vie du contrat.",2024-03 CG Ma Protection Accident (AGA-AEP).pdf,27
ma-protection-accident-garantie-des-accidents-de-la-vie:cond:1158f219d0,Ma Protection Accident (Garantie des accidents de la vie),,"Garanties acquises seulement si résidence principale + foyer fiscal sur le territoire français à la survenance du sinistre ; déménagement à l'étranger à déclarer sous 15 jours.",2024-03 CG Ma Protection Accident (AGA-AEP).pdf,22
ma-retraite-plan-d-epargne-retraite-individuel-per:cond:c956e63a5d,Ma Retraite (plan d'épargne retraite individuel — PER),,"Adhésion réservée aux adhérents ANPERE Retraite ; prise d'effet à réception du Bulletin signé + 1er versement + contrôle de l'origine des fonds + encaissement. L'âge envisagé de départ détermine l'échéance, la gestion Activ'Retraite Croissance et l'échéance du fonds Croissance (modifiable par avenant).",2026-05 Notice Ma Retraite.pdf,9
ma-retraite-plan-d-epargne-retraite-individuel-per:cond:e8e8e580d8,Ma Retraite (plan d'épargne retraite individuel — PER),,"Versements réguliers : minima 45 €/mois à 600 €/an, plafond 24 000 € par année d'adhésion ; complémentaires ≥ 500 €.",2026-05 Notice Ma Retraite.pdf,14
masterlife-credit:cond:1ed4ab0baf,Masterlife CREDIT,,"Membre ANPERE ; assuré personne physique résidant en France ; questionnaires (médical/financier/sportif) sauf dispense Lemoine : prêt L313-1 1° C. conso (immobilier habitation/mixte, travaux, terrains…), part assurée sur encours cumulé ≤ 200 000 € (exemples en annexe p.27), échéance du prêt avant le 60e anniversaire - 3 conditions cumulatives.",Notice-Masterlife-Credit-202410.pdf,8
masterlife-credit:cond:95cc3d507f,Masterlife CREDIT,,"Modification des garanties possible jusqu'au 75e anniversaire, accord du prêteur le cas échéant ; augmentation soumise à acceptation ADIS et éventuelle sélection médicale.",Notice-Masterlife-Credit-202410.pdf,9
masterlife-credit:cond:116d8c6c89,Masterlife CREDIT,,"Convention AERAS : examen 2e et 3e niveaux en cas de refus, écrêtement des surprimes pour les éligibles, GIS possible.",Notice-Masterlife-Credit-202410.pdf,23
