id,contrat,titre,texte,notice,page
avizen:def:bc84b360bb,Avizen,Accident,"Atteinte corporelle non intentionnelle provenant directement de l'action soudaine et imprévisible d'une cause extérieure. NE SONT PAS des accidents : atteintes musculaires/tendineuses/ligamentaires et affections du rachis liées à une altération de santé préexistante ; ruptures du tendon d'Achille et fractures de fatigue ; pathologies cardiaques et affections vasculaires ; chocs émotifs et états dépressifs même consécutifs à un accident. La prise en charge en accident du travail par le régime obligatoire ne prévaut pas sur cette définition.",2025-04 Notice d'information Avizen.pdf,34
avizen:def:2ca20f13b2,Avizen,Invalidité Permanente Totale (IPT),Taux d'invalidité fonctionnelle égal à 100 % (barème accidents du travail de la Sécurité sociale) ET reconnaissance définitive d'incapacité à se livrer à la moindre activité professionnelle procurant gain ou profit. Le classement en 2e catégorie Sécurité sociale ne suffit pas à lui seul.,2025-04 Notice d'information Avizen.pdf,36
avizen:def:26ab92ad8c,Avizen,Incapacité temporaire totale de travail (ITT),"État de santé médicalement constaté obligeant à arrêter totalement et temporairement l'activité professionnelle (maladie ou accident). La période de droit aux IJ maternité du régime obligatoire n'est pas de l'ITT, même en cas de renonciation à ce droit.",2025-04 Notice d'information Avizen.pdf,35
avizen:def:af457b706f,Avizen,Invalidité fonctionnelle,"Établie d'après le barème des accidents du travail de la Sécurité sociale, sans tenir compte de l'incidence professionnelle.",2025-04 Notice d'information Avizen.pdf,35
avizen:def:5f15e6a842,Avizen,Franchise,"Période entre la survenance de l'événement ouvrant droit à indemnisation et le début de l'indemnisation. Plusieurs niveaux disponibles ; choix précisé au certificat d'adhésion. Ne concerne que les IJ d'ITT et l'exonération en cas d'ITT.",2025-04 Notice d'information Avizen.pdf,35
avizen:def:216df9ed2f,Avizen,Délai d'attente,"Période pendant laquelle les garanties ne s'appliquent pas, malgré la prise d'effet de l'adhésion ou de l'avenant d'augmentation.",2025-04 Notice d'information Avizen.pdf,35
avizen:def:714f512e9e,Avizen,Non-fumeur,"Personne n'ayant pas fumé (cigarettes, e-cigarettes, cigares, pipes) au cours des 24 derniers mois et non dépendante d'un traitement de sevrage tabagique sur cette période. Abattement tarifaire sur capital décès/IPT toutes causes, rente éducation et rente décès/IPT.",2025-04 Notice d'information Avizen.pdf,36
avizen:def:4289ad5c61,Avizen,Consolidation,"Stabilisation d'un état de santé après accident ou maladie, laissant subsister des séquelles et n'étant plus susceptible d'aggravation ou d'évolution notable.",2025-04 Notice d'information Avizen.pdf,34
avizen:def:2e672467db,Avizen,Pays sensibles,Pays comportant des zones « formellement déconseillées ou déconseillées sauf raison impérative » par le ministère français des Affaires étrangères.,2025-04 Notice d'information Avizen.pdf,36
avizen:def:00b0381e1f,Avizen,Pratique occasionnelle,"Pratique non régulière, exercée ne serait-ce qu'une fois dans l'année (hors baptêmes).",2025-04 Notice d'information Avizen.pdf,36
avizen-pro:def:bc84b360bb,Avizen Pro,Accident,"Identique à Avizen : atteinte corporelle non intentionnelle d'une cause extérieure soudaine et imprévisible ; exclusions de qualification (rachis, tendons, tendon d'Achille, fractures de fatigue, pathologies cardiaques/vasculaires, chocs émotifs/dépression) ; la qualification AT du régime obligatoire ne prévaut pas.",2025-04 Notice d'information Avizen Pro (AEP).pdf,50
avizen-pro:def:9351ac94d0,Avizen Pro,Invalidité professionnelle,"Définie par expertise amiable, appréciée de 0 à 100 % d'après la nature de l'invalidité par rapport à la profession indiquée au certificat ET toujours exercée au moment du sinistre ; tient compte de l'exercice antérieur, des conditions normales d'exercice, des capacités restantes, des possibilités d'adaptation et des répercussions sur les revenus. Charge de la preuve sur l'assuré.",2025-04 Notice d'information Avizen Pro (AEP).pdf,18
avizen-pro:def:87c86c546e,Avizen Pro,Taux d'invalidité croisé,"Combine l'invalidité fonctionnelle (barème AT Sécurité sociale, sans incidence professionnelle) et l'invalidité professionnelle, selon le tableau croisé contractuel.",2025-04 Notice d'information Avizen Pro (AEP).pdf,19
avizen-pro:def:bc84b7162c,Avizen Pro,IPT,"Taux d'invalidité fonctionnelle = 100 % + incapacité définitive à toute activité professionnelle rémunératrice ; le classement 2e catégorie Sécurité sociale ne suffit pas (chapitre Définitions).",2025-04 Notice d'information Avizen Pro (AEP).pdf,52
avizen-pro:def:4ce8507e31,Avizen Pro,Hospitalisation (assistance),"Hospitalisation imprévue > 24 h, ou < 24 h incluant chirurgie de la hanche/bras/jambe/pied/main entraînant invalidité temporaire, ou traitement de chimiothérapie/radiothérapie.",2025-04 Notice d'information Avizen Pro (AEP).pdf,31
avizen-pro:def:095b5fb514,Avizen Pro,Maladie grave (assistance),"Cancer, infarctus du myocarde, Parkinson, sclérose en plaques, maladies coronariennes, AVC, insuffisance rénale, greffe d'organe, SLA - premier diagnostic par spécialiste inscrit à l'Ordre, distinct du bénéficiaire et de sa famille directe.",2025-04 Notice d'information Avizen Pro (AEP).pdf,31
