id,contrat,titre,texte,notice,page
axa_axa_axa_avizen_2025_04_garanties_1aaadbb8226d_knowledge_89bf645880bb,Avizen,Rente invalidité permanente partielle ou totale par accident (optionnelle),"Comme la rente toutes causes mais limitée à l'accident, seuil unique taux ≥ 11 %. Non cumulable avec la rente toutes causes.",2025-04 Notice d'information Avizen.pdf,16
axa_axa_axa_avizen_2025_04_garanties_1f8e343ca6c1_knowledge_5a79ea84fd80,Avizen,Capital invalidité permanente partielle ou totale toutes causes (optionnelle),"Capital = montant garanti à la consolidation × taux d'indemnisation (n). Taux définitivement fixé à la consolidation, sans révision. Le versement met fin à la garantie quel que soit le taux retenu. Non cumulable avec le capital par accident.",2025-04 Notice d'information Avizen.pdf,16
axa_axa_axa_avizen_2025_04_garanties_298583bbdc55_knowledge_6df41afcc8cc,Avizen,Indemnités journalières ITT par accident (optionnelle),"Mêmes modalités que les IJ toutes causes mais limitées aux arrêts par accident ; cessation au plus tard au 1 095e jour d'arrêt (franchise incluse). Non cumulable avec les IJ toutes causes.",2025-04 Notice d'information Avizen.pdf,14
axa_axa_axa_avizen_2025_04_garanties_2bf2b4989e80_knowledge_8e3e075241c0,Avizen,Capital invalidité permanente partielle ou totale par accident (optionnelle),"Comme le capital toutes causes mais limité à l'accident, seuil taux ≥ 11 % ; taux fixé définitivement à la consolidation.",2025-04 Notice d'information Avizen.pdf,17
axa_axa_axa_avizen_2025_04_garanties_2ff339490df0_knowledge_b9439f7afea1,Avizen,Indemnités journalières ITT toutes causes (optionnelle),"IJ versées par jour d'arrêt de travail médicalement constaté, à terme échu par quinzaine, après franchise du certificat d'adhésion. Cessent à la reprise totale d'activité, à la consolidation d'une invalidité, au 365e ou 1095e jour d'arrêt (franchise incluse, selon durée d'indemnisation au certificat), à la fin de l'année d'assurance des 67 ans ou à la liquidation retraite. Reprise partielle possible = réduction de 50 % des prestations. Rechute ≤ 90 jours (mêmes causes) : reprise sans nouvelle franchise (sauf affections de la colonne vertébrale, toujours…",2025-04 Notice d'information Avizen.pdf,13
axa_axa_axa_avizen_2025_04_garanties_338c6fd6176a_knowledge_8938e101c7dc,Avizen,Rente éducation décès / Rente éducation IPT (garantie principale),"Versée aux enfants bénéficiaires fiscalement à charge (y compris nés moins de 300 jours après le décès) jusqu'au 26e anniversaire ; viagère au-delà si l'enfant perçoit une allocation handicapés (loi 30/06/1975) attribuée avant ses 21 ans et garantie souscrite avant ses 16 ans. Montant par paliers : 100 % du montant souscrit de 0-11 ans, 125 % de 12-17 ans, 150 % de 18-26 ans. Double effet : rente doublée en cas de décès simultané ou postérieur du conjoint/partenaire/concubin avec enfant à charge. En IPT : versée à l'assuré dans les mêmes conditions.",2025-04 Notice d'information Avizen.pdf,12
axa_axa_axa_avizen_2025_04_garanties_4273eec96de1_knowledge_d37557b53e34,Avizen,Rente invalidité fonctionnelle toutes causes (optionnelle),"Rente si invalidité permanente partielle ou totale (maladie ou accident) appréciée par le taux d'invalidité fonctionnelle. Montant = montant garanti à la consolidation × taux d'indemnisation (n) du tableau contractuel. Versée par trimestre civil à terme échu, tant que le taux ≥ 11 % (accident) ou ≥ 33 % (maladie). Taux révisable à la hausse comme à la baisse pendant la garantie.",2025-04 Notice d'information Avizen.pdf,15
axa_axa_axa_avizen_2025_04_garanties_4e17c4643abb_knowledge_de5880e82d5e,Avizen,Garantie aide à la famille,"IJ en cas de cessation totale ou partielle d'activité pour accompagner un enfant gravement malade, handicapé ou victime d'un accident grave. Versées dès le 1er jour d'attribution de l'AJPP, à terme échu par quinzaine. Limite : 14 mois par enfant à charge et par pathologie, renouvelable une fois. Cesse si fin d'AJPP, reprise totale d'activité, 67 ans, liquidation retraite, ou versement de prestations ITT/invalidité.",2025-04 Notice d'information Avizen.pdf,18
axa_axa_axa_avizen_pro_2025_04_garanties_036eb3e36d25_knowledge_8069455b86f2,Avizen Pro,IJ toutes causes complémentaires aux régimes obligatoires (optionnelle),"IJ courtes complémentaires aux IJ des régimes obligatoires : cessent au 90e OU 365e jour d'arrêt (franchise incluse) selon la garantie souscrite au certificat. Mêmes règles de rechute, reconstruction mammaire sans nouvelle franchise. Non cumulable avec IJ ITT par accident.",2025-04 Notice d'information Avizen Pro (AEP).pdf,15
axa_axa_axa_avizen_pro_2025_04_garanties_42d478ba7b57_knowledge_6a98e41528ba,Avizen Pro,Rente invalidité par accident (optionnelle),"Évaluée sur le seul taux d'invalidité fonctionnelle (tableau spécifique), seuil 11 %. Médecin conseil de l'assureur indépendant des décisions Sécurité sociale.",2025-04 Notice d'information Avizen Pro (AEP).pdf,23
