id,contrat,titre,texte,notice,page
axa_axa_axa_avizen_2025_04_options_6a1ed3c8d2d1_knowledge_bf648561fef8,Avizen,Exonération des cotisations en cas d'ITT,"Pendant le versement des IJ, remboursement des cotisations de l'ensemble des garanties en cours à raison de 1/365e de la cotisation annuelle par jour d'arrêt total indemnisé. Garanties maintenues mais aucune augmentation possible pendant l'exonération.",2025-04 Notice d'information Avizen.pdf,17
axa_axa_axa_avizen_2025_04_options_8f4ee5536c39_knowledge_566df5b56ec5,Avizen,Indexation des garanties (option à l'adhésion),"Réévaluation annuelle des garanties selon l'évolution du PASS, sans examen médical ; cotisation évolue du même pourcentage. Cesse au plus tard à la date anniversaire de l'année des 70 ans ou au décès. Refus définitif possible par lettre au moins 1 mois avant la date anniversaire.",2025-04 Notice d'information Avizen.pdf,8
axa_axa_axa_avizen_2025_04_options_9548821c6b3a_knowledge_3c980033add3,Avizen,Exonération des cotisations en cas d'invalidité,"Si invalidité permanente ≥ 66 % (maladie ou accident) déclenchant une indemnisation invalidité : cotisations prises en charge jusqu'au terme de la garantie, tant que l'invalidité reste ≥ 66 %.",2025-04 Notice d'information Avizen.pdf,18
axa_axa_axa_avizen_2025_04_options_9f4385ee345a_knowledge_219241330066,Avizen,Capital décès double garantie,"Si l'assuré en IPT décède au moins 1 an après la consolidation, capital supplémentaire (égal au capital IPT déjà versé) aux bénéficiaires, si décès avant fin de l'année d'assurance des 85 ans.",2025-04 Notice d'information Avizen.pdf,11
axa_axa_axa_avizen_2025_04_options_e060ef8374fa_knowledge_97cb97064d66,Avizen,Augmentation sans sélection médicale (mariage/naissance/adoption),"Augmentation du capital décès/IPT sans sélection médicale, dans la limite de 20 % du montant, en cas de mariage ou PACS, naissance ou adoption, demandée dans les 3 mois suivant l'événement.",2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_pro_2025_04_options_30367f970ec3_knowledge_9b700659935b,Avizen Pro,Cadre fiscal Madelin,"Adhésion possible dans le cadre fiscal Madelin (TNS) : prestations alors imposables ; obligation de justifier chaque année (et à l'adhésion) être à jour des cotisations maladie et vieillesse obligatoires (attestations des caisses).",2025-04 Notice d'information Avizen Pro (AEP).pdf,4
axa_axa_axa_avizen_pro_2025_04_options_30d31b0bdbeb_knowledge_6abd3591ed08,Avizen Pro,Exonération cotisations invalidité,"Dispense de cotisations si invalidité ≥ 66 % (appréciée selon le taux croisé, professionnel ou fonctionnel suivant la garantie rente détenue) tant qu'elle perdure.",2025-04 Notice d'information Avizen Pro (AEP).pdf,24
axa_axa_axa_avizen_pro_2025_04_options_58815b57aa2b_knowledge_3b485dc6b94c,Avizen Pro,Augmentation sans sélection médicale (mariage/PACS/naissance/adoption),"+20 % max du capital décès/IPT sans sélection médicale, dans les 3 mois de l'événement.",2025-04 Notice d'information Avizen Pro (AEP).pdf,9
axa_axa_axa_avizen_pro_2025_04_options_59ba50240db5_knowledge_cbb3ace5d17d,Avizen Pro,Indexation PASS,"Comme Avizen : réévaluation annuelle garanties+cotisations selon le PASS, sans examen médical, jusqu'à 70 ans ; refus définitif possible 1 mois avant la date anniversaire.",2025-04 Notice d'information Avizen Pro (AEP).pdf,8
axa_axa_axa_avizen_pro_2025_04_options_600b2b2533a5_knowledge_9af710c106d5,Avizen Pro,Exonération cotisations ITT,"1/365e de la cotisation annuelle remboursé par jour d'arrêt total indemnisé ; garanties maintenues, pas d'augmentation possible.",2025-04 Notice d'information Avizen Pro (AEP).pdf,24
axa_axa_axa_avizen_pro_2025_04_options_66925aa55f52_knowledge_685604acb028,Avizen Pro,Capital décès double garantie,"Capital supplémentaire (égal au capital IPT versé) si décès ≥ 1 an après consolidation IPT, avant fin de l'année d'assurance des 85 ans.",2025-04 Notice d'information Avizen Pro (AEP).pdf,11
axa_axa_axa_avizen_pro_2025_04_options_cd5baa4496f8_knowledge_48ad072d3fa9,Avizen Pro,Option taux invalidité professionnelle (barème spécifique),"Pour 28 professions éligibles (liste contractuelle p.21), fixation du taux d'invalidité (n) uniquement selon l'invalidité professionnelle, avec barème spécifique remis à l'adhésion (n retenu jamais inférieur au barème de la profession). Indemnisation : n/66 si n < 66 %, 100 % si n ≥ 66 %. Exemple contractuel : n = 50 % → 75,76 % de la rente.",2025-04 Notice d'information Avizen Pro (AEP).pdf,20
axa_axa_axa_avizen_pro_2025_04_options_d2d83a481f1d_knowledge_4f580b86f787,Avizen Pro,Option taux d'invalidité 15 % maladie,Abaisse le seuil d'intervention invalidité maladie de 33 % à 15 % (rente et capital). Acquise seulement si mentionnée au certificat.,2025-04 Notice d'information Avizen Pro (AEP).pdf,17
axa_axa_axa_entourage_2025_06_options_1e769dd60f47_knowledge_1f9477b5236e,Entour'Age,Réduction couple,Si chaque conjoint adhère individuellement dans un délai maximal de 3 mois entre les deux adhésions : réduction tarifaire permanente de 10 % sur les deux cotisations. Prend fin si l'un des contrats est résilié ou mis en réduction.,2025-06 Notice d'Information Entour'Age.pdf,11
axa_axa_axa_entourage_2025_06_options_9d4ceb1307a5_knowledge_4719bd564d23,Entour'Age,Formule Dépendance Totale et Partielle,"Étend la couverture à la dépendance partielle : 50 % de la rente dès reconnaissance de la dépendance partielle ; substitution intégrale par la rente totale en cas d'aggravation reconnue.",2025-06 Notice d'Information Entour'Age.pdf,6
axa_axa_axa_entourage_2025_06_options_a965668d36e4_knowledge_28f942a2bdaa,Entour'Age,Capital Premiers Frais,"Capital forfaitaire de 3 500 € versé à l'ouverture du droit à prestations pour l'état de dépendance garanti (y compris dépendance LÉGÈRE si l'option est souscrite dans le cadre de la Formule Totale et Partielle). Montant = montant souscrit × revalorisation × coefficient de réduction éventuel. Versement unique mettant fin à la garantie ; libre utilisation.",2025-06 Notice d'Information Entour'Age.pdf,6
axa_axa_axa_entourage_2025_06_options_adbaa1191be7_knowledge_35cafcbd6d53,Entour'Age,Capital décès Remboursement des cotisations,En cas de décès SANS dépendance préalable avant le 85e anniversaire : remboursement aux bénéficiaires du cumul des cotisations nettes des frais de fractionnement versées depuis la date d'effet de cette garantie. Non cumulable avec le Capital décès.,2025-06 Notice d'Information Entour'Age.pdf,27
axa_axa_axa_entourage_2025_06_options_c09b72c9c8a5_knowledge_4cd76c6d196f,Entour'Age,Capital décès,"3 500 € versés aux bénéficiaires en cas de décès de l'assuré ; le versement met fin à toutes les garanties. Cesse à la fin de l'année d'assurance des 85 ans. Non cumulable avec Capital décès remboursement des cotisations.",2025-06 Notice d'Information Entour'Age.pdf,6
axa_axa_axa_essenciel_2025_06_options_87a4cb27ff56_knowledge_63f695d13bad,Essen'Ciel (assurance obsèques),Modification du capital garanti,"Possible après 1 année pleine de cotisation, avant 86 ans, une fois par année d'adhésion. Augmentation : complément de cotisation (âge + tarif en vigueur + montant) et nouveau délai d'attente d'1 an sur la fraction nouvelle (décès accidentel seul couvert pendant ce délai ; si décès par maladie : capital initial versé + cotisations complémentaires nettes de frais remboursées à la succession). Diminution : recalcul des cotisations.",2025-06 Notice d'information Essen'Ciel.pdf,22
axa_axa_axa_essenciel_2025_06_options_de0a3dff8347_knowledge_6e47ac594507,Essen'Ciel (assurance obsèques),Réduction adhésion simultanée (couple),"Adhésion simultanée de l'adhérent et de son partenaire de vie (époux, PACS, concubin) : réduction permanente de 10 % sur l'ensemble des cotisations des 2 adhésions. Prend fin en cas de rachat, résiliation ou mise en réduction de l'une des adhésions.",2025-06 Notice d'information Essen'Ciel.pdf,17
axa_axa_axa_essenciel_2025_06_options_e59c0ac74c82_knowledge_786fe21d3933,Essen'Ciel (assurance obsèques),Choix de la durée de cotisation,"Cotisations temporaires 10 ans ou 20 ans (âge < 90 ans au paiement de la dernière cotisation) ou viagères. Cotisation viagère mensuelle plus faible, mais le cumul versé peut dépasser le capital garanti dans tous les cas.",2025-06 Notice d'information Essen'Ciel.pdf,8
axa_essenciel_patrimoine_2023-09_option_d5aed7e8f30b,Essen'Ciel Patrimoine,Faculté de rachat (total / partiel) + tableau des valeurs de rachat,"Le contrat comporte une faculté de rachat ; règlement sous 2 mois. Un tableau des valeurs de rachat au terme des 8 premières années figure dans la notice (§4.3).",2023-09 Notice d'information Essen'Ciel Patrimoine.pdf,"2, 14, 15"
axa_essenciel_patrimoine_2023-09_option_4c8a4bdf86b1,Essen'Ciel Patrimoine,Mise en réduction (valeur de réduction),"Si l'adhérent cesse de payer les cotisations, l'adhésion peut être mise en réduction : un nouveau capital garanti (valeur de réduction) est calculé.",2023-09 Notice d'information Essen'Ciel Patrimoine.pdf,"13, 14, 15"
axa_essenciel_patrimoine_2023-09_option_133833a39642,Essen'Ciel Patrimoine,Réduction tarifaire couple (-10 %),Adhésion simultanée de l'adhérent et de son conjoint (marié/PACS/concubin) : -10 % permanent sur l'ensemble des cotisations.,2023-09 Notice d'information Essen'Ciel Patrimoine.pdf,13
axa_essenciel_patrimoine_2023-09_option_1c3ca5ad4e41,Essen'Ciel Patrimoine,Prestations d'assistance (suite au décès),Prestations d'assistance fournies par AXA Assistance (suite au décès de l'assuré).,2023-09 Notice d'information Essen'Ciel Patrimoine.pdf,"7, 9, 10"
axa_axa_axa_excelium_vie_2026_05_options_1cdccb5c2dfd_knowledge_e2f08d8f4d98,Excelium (assurance vie),Prorogation du fonds Croissance,"Option expresse, sans frais, à tout moment : à l'échéance, la garantie (10 ans) est prorogée ; renonciation possible par lettre simple ; l'assureur peut refuser jusqu'à 3 mois avant l'échéance. Les prélèvements sociaux du fonds Croissance sont reportés à la nouvelle échéance.",2026-05 Notice Excelium Vie.pdf,20
axa_axa_axa_excelium_vie_2026_05_options_6daa8e90677e_knowledge_74b7d68ed563,Excelium (assurance vie),Types de gestion,"Gestion personnelle (libre choix des supports) ; gestion par convention (profils, dont conventions Conviction/Horizon, avec ou sans fonds Croissance, équilibrages automatiques) ; gestion pilotée / sous mandat (profils d'allocation, frais de mandat +0,25 %/an sur UC). Options d'arbitrage automatique en gestion personnelle : investissement progressif (0 %), sécurisation des performances (0,80 %), stop loss (0 %).",2026-05 Notice Excelium Vie.pdf,79
axa_axa_axa_excelium_vie_2026_05_options_a2272a8885f5_knowledge_cdbcbea03f9e,Excelium (assurance vie),Rachats partiels programmés,"Durée max 3 ans, montant en euros (brut ou net de fiscalité), périodicité au choix ; min 150 €/rachat, valeur de rachat restante ≥ 750 € ; incompatible avec versements programmés et options d'arbitrage automatique ; modifications avec préavis 1 mois ; une seule suspension/reprise ; l'assureur peut arrêter l'option.",2026-05 Notice Excelium Vie.pdf,45
