id,contrat,titre,texte,notice,page
axa_axa_axa_avizen_2025_04_cotisations_et_prix_2ca4d97bb9ae_knowledge_6ed9ced498a7,Avizen,tableaux,tableaux. Information documentaire à consulter dans la source.,2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_2025_04_cotisations_et_prix_45b00e073e5e_knowledge_9ef49b911767,Avizen,frais,frais. Information documentaire à consulter dans la source.,2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_2025_04_cotisations_et_prix_7f531ad19cd0_knowledge_0d72b99a5472,Avizen,exemples_chiffrés,exemples_chiffrés. Information documentaire à consulter dans la source.,2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_2025_04_cotisations_et_prix_abc3375d4853_knowledge_811b06665e8e,Avizen,mode_calcul,"Cotisation annuelle calculée selon : âge de l'assuré (millésime année d'adhésion - millésime année de naissance, recalculé à chaque date anniversaire), groupe tarifaire selon la profession, qualité fumeur/non-fumeur ; dépend aussi des conditions d'acceptation médicale, des conditions d'exercice de la profession, des activités/sports/loisirs et des taxes réglementaires. Payables d'avance dans les 10 jours suivant l'échéance (périodicité mensuelle, trimestrielle, semestrielle ou annuelle au certificat). Le paiement s'arrête au décès ou à la reconnaissance…",2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_2025_04_cotisations_et_prix_b516c9e6cfb0_knowledge_09a0e053a243,Avizen,défaut_de_paiement,"à l'expiration d'un délai de 40 jours suivant la lettre recommandée, l'adhésion sera résiliée",2025-04 Notice d'information Avizen.pdf,8
axa_axa_axa_avizen_2025_04_cotisations_et_prix_c8ec4cc1bd2f_knowledge_76782051e2db,Avizen,réductions,"Abattement non-fumeur · Abattement tarifaire sur les garanties capital décès/IPT toutes causes, rente éducation décès/IPT et rente décès/IPT lorsque l'assuré est non-fumeur (définition : 24 mois sans fumer ni sevrage).",2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_pro_2025_04_cotisations_et_prix_14ffc33eeaf0_knowledge_14f83df2014e,Avizen Pro,tableaux,tableaux. Information documentaire à consulter dans la source.,2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_pro_2025_04_cotisations_et_prix_3d72e8841ed9_knowledge_8d16644182d3,Avizen Pro,exemples_chiffrés,"Option taux professionnel : taux d'invalidité 50 % → taux d'indemnisation 50/66 = 75,76 % de la rente du certificat ; taux 75 % → 100 %.",2025-04 Notice d'information Avizen.pdf,9
axa_axa_axa_avizen_pro_2025_04_cotisations_et_prix_759b89f27c1f_knowledge_d18add8ca1f6,Avizen Pro,défaut_de_paiement,"à l'expiration d'un délai de 40 jours suivant la lettre recommandée, l'adhésion sera résiliée",2025-04 Notice d'information Avizen Pro (AEP).pdf,8
axa_axa_axa_avizen_pro_2025_04_cotisations_et_prix_819a475f3f85_knowledge_f28130b0ac7c,Avizen Pro,mode_calcul,"Identique à Avizen : âge (différence de millésimes), groupe tarifaire professionnel, fumeur/non-fumeur, conditions d'acceptation médicale, conditions d'exercice, activités/sports, taxes. Payables d'avance sous 10 jours de l'échéance (périodicité au certificat). Arrêt du paiement au décès ou à la reconnaissance d'IPT.",2025-04 Notice d'information Avizen.pdf,9
