id,contrat,titre,texte,notice,page
axa_axa_axa_avizen_2025_04_delais_carences_franchises_064d54938164_knowledge_e46b76d2bea0,Avizen,"2 ans ; 10 ans (vie : bénéficiaire distinct de l'adhérent ; accidents : ayants droit du décédé) ; actions du bénéficiaire prescrites au plus tard 30 ans après…","2 ans ; 10 ans (vie : bénéficiaire distinct de l'adhérent ; accidents : ayants droit du décédé) ; actions du bénéficiaire prescrites au plus tard 30 ans après le décès",2025-04 Notice d'information Avizen.pdf,29
axa_axa_axa_avizen_2025_04_delais_carences_franchises_0ecfc14749f3_knowledge_02dcffe3db8b,Avizen,ITT plafonnée à 365 jours pour toute la durée de l'adhésion,ITT plafonnée à 365 jours pour toute la durée de l'adhésion,2025-04 Notice d'information Avizen.pdf,28
axa_axa_axa_avizen_2025_04_delais_carences_franchises_1eb7c3b6656b_knowledge_d1cae11fe382,Avizen,"90 jours : toute affection dont la 1re constatation médicale survient dans les 90 jours suivant la date d'effet est exclue, avec ses conséquences","90 jours : toute affection dont la 1re constatation médicale survient dans les 90 jours suivant la date d'effet est exclue, avec ses conséquences",2025-04 Notice d'information Avizen.pdf,27
axa_axa_axa_avizen_2025_04_delais_carences_franchises_4dcefc2d1cb7_knowledge_705134a3703d,Avizen,"365 jours (troubles névrotiques, psychotiques, anxieux, troubles de l'humeur, stress/adaptation, alimentation, dépression, surmenage, burn out)","365 jours (troubles névrotiques, psychotiques, anxieux, troubles de l'humeur, stress/adaptation, alimentation, dépression, surmenage, burn out)",2025-04 Notice d'information Avizen.pdf,27
axa_axa_axa_avizen_2025_04_delais_carences_franchises_7353dbad0140_knowledge_359a591302ec,Avizen,"franchise absolue du certificat avec un minimum de 90 jours ; indemnisation ITT plafonnée à 365 jours pour toute la durée de l'adhésion","franchise absolue du certificat avec un minimum de 90 jours ; indemnisation ITT plafonnée à 365 jours pour toute la durée de l'adhésion",2025-04 Notice d'information Avizen.pdf,28
axa_axa_axa_avizen_2025_04_delais_carences_franchises_7ea4e3d72762_knowledge_3c7b7304c016,Avizen,franchise 30 jours (ou franchise du certificat si supérieure),franchise 30 jours (ou franchise du certificat si supérieure),2025-04 Notice d'information Avizen.pdf,28
axa_axa_axa_avizen_2025_04_delais_carences_franchises_848a468470d5_knowledge_44d4257a68c3,Avizen,"15 jours après la fin de la franchise, sinon franchise prolongée jusqu'à réception ; prolongation d'arrêt : certificat sous 15 jours sinon jours intermédiaires…","15 jours après la fin de la franchise, sinon franchise prolongée jusqu'à réception ; prolongation d'arrêt : certificat sous 15 jours sinon jours intermédiaires non indemnisés",2025-04 Notice d'information Avizen.pdf,20
axa_axa_axa_avizen_2025_04_delais_carences_franchises_8cffe28be8f9_knowledge_799a20a8bb52,Avizen,"ITT plafonnée à 365 jours de prestations toutes affections du rachis confondues, pour toute la durée de l'adhésion ; invalidité couverte uniquement si lésion c…","ITT plafonnée à 365 jours de prestations toutes affections du rachis confondues, pour toute la durée de l'adhésion ; invalidité couverte uniquement si lésion constatée radiologiquement (scanner, IRM…)",2025-04 Notice d'information Avizen.pdf,28
axa_axa_axa_avizen_pro_2025_04_delais_carences_franchises_328e8ef980da_knowledge_685a9700d24e,Avizen Pro,"2 ans / 10 ans / 30 ans (mêmes règles qu'Avizen, L114-1 s.)","2 ans / 10 ans / 30 ans (mêmes règles qu'Avizen, L114-1 s.)",2025-04 Notice d'information Avizen Pro (AEP).pdf,45
axa_axa_axa_avizen_pro_2025_04_delais_carences_franchises_32baffb6fabd_knowledge_480adab7336d,Avizen Pro,"plafond ITT 365 jours sur la durée de l'adhésion ; invalidité rachis seulement si lésion objectivée radiologiquement","plafond ITT 365 jours sur la durée de l'adhésion ; invalidité rachis seulement si lésion objectivée radiologiquement",2025-04 Notice d'information Avizen Pro (AEP).pdf,44
axa_axa_axa_avizen_pro_2025_04_delais_carences_franchises_467720c3c6b2_knowledge_992f5f813b44,Avizen Pro,"IJ versées après la franchise hospitalisation du certificat, jusqu'au 15e jour d'arrêt (moelle) ou 30e jour (organe)","IJ versées après la franchise hospitalisation du certificat, jusqu'au 15e jour d'arrêt (moelle) ou 30e jour (organe)",2025-04 Notice d'information Avizen Pro (AEP).pdf,44
axa_axa_axa_avizen_pro_2025_04_delais_carences_franchises_4c3eda7401a0_knowledge_41719d2a39ff,Avizen Pro,"franchise absolue min 90 jours ; plafond ITT 365 jours sur toute la durée de l'adhésion","franchise absolue min 90 jours ; plafond ITT 365 jours sur toute la durée de l'adhésion",2025-04 Notice d'information Avizen Pro (AEP).pdf,44
