id,contrat,titre,texte,notice,page
axa_avizen_2025-04_formule_01,Avizen,Prestation invalidité (rente ou capital),autre · prestation = montant_garanti_à_la_consolidation × n(taux_invalidité_fonctionnelle) / 100 · justification : Règle explicite aux §2.2.3 à 2.2.6 : « montant… multiplié par le taux d'indemnisation (n) ».,2025-04 Notice d'information Avizen.pdf,16
axa_avizen_2025-04_formule_02,Avizen,Exonération ITT,cotisation · remboursement = (cotisation_annuelle / 365) × jours_d_arrêt_total_indemnisés · justification : Énoncé littéral au §2.2.7 (1/365e par jour indemnisé).,2025-04 Notice d'information Avizen.pdf,17
axa_avizen_2025-04_formule_03,Avizen,Taux d'indemnisation zone linéaire 11-30 %,"autre · pour 11 ≤ t ≤ 30 : n = 1,5 × (t − 10) ; au-delà de 30 la progression n'est plus linéaire (lecture du tableau obligatoire) ; t ≥ 66 : n = 100 · justification : Vérifiée sur les 20 premières valeurs du tableau (11→1,5 ; 20→15 ; 30→30). Au-delà de 30 % les valeurs (31→31,14…65→86,04) ne suivent pas de formule simple identifiable : utiliser le tableau.",2025-04 Notice d'information Avizen.pdf,16
axa_avizen_pro_2025-04_formule_01,Avizen Pro,Prestation invalidité (croisé),"autre · prestation = montant_certificat × taux_indemnisation(taux_croisé(prof, fonctionnel)) / 100 · justification : Mécanique explicite §2.2.5-2.2.6 avec les deux tableaux contractuels.",2025-04 Notice d'information Avizen Pro (AEP).pdf,19
axa_avizen_pro_2025-04_formule_02,Avizen Pro,Prestation invalidité (option professionnelle),"autre · si 11/15/33 ≤ n < 66 : taux_indemnisation = n/66 ; si n ≥ 66 : 100 % ; prestation = montant_certificat × taux_indemnisation · justification : Formule et exemples chiffrés écrits en toutes lettres (50 % → 75,76 %).",2025-04 Notice d'information Avizen Pro (AEP).pdf,20
axa_avizen_pro_2025-04_formule_03,Avizen Pro,Exonération ITT,cotisation · remboursement = cotisation_annuelle/365 × jours_indemnisés · justification : Énoncé littéral §2.2.9.,2025-04 Notice d'information Avizen Pro (AEP).pdf,24
axa_entourage_2025-06_formule_01,Entour'Age,Rente dépendance totale,"autre · rente_mensuelle = montant_souscrit × taux_revalorisation(adhésion→reconnaissance) × coefficient_réduction_éventuel ; en dépendance partielle : × 0,5 · justification : Formule décrite explicitement comme « le produit des éléments suivants » au §4.3.1.1.",2025-06 Notice d'Information Entour'Age.pdf,21
axa_entourage_2025-06_formule_02,Entour'Age,Capital décès remboursement des cotisations,autre · capital = Σ cotisations versées (nettes des frais de fractionnement) entre la date d'effet de la garantie et la date du décès · justification : Énoncé littéral §6.2.2.,2025-06 Notice d'Information Entour'Age.pdf,27
axa_essenciel_2025-06_formule_01,Essen'Ciel (assurance obsèques),Capital revalorisé,"autre · capital(t) = capital_souscrit × 1,01^t (+ participation aux bénéfices éventuelle) · justification : Revalorisation contractuelle garantie de 1 %/an ; vérifiée sur l'exemple p.7 : 5 000 × 1,01^12 = 5 634 ? Non : l'exemple contractuel donne 5 804,92 € (+16 %), supérieur à 1,01^12 (+12,7 %) — l'exemple semble inclure d'autres revalorisations ou une base différente : voir zones_ambiguës. La formule en composé simple reste l'interprétation littérale du §5.2.1.",2025-06 Notice d'information Essen'Ciel.pdf,20
axa_essenciel_2025-06_formule_02,Essen'Ciel (assurance obsèques),Pénalité de rachat,"valeur_de_rachat · pénalité(année n) = max(0 ; 5 % − 0,5 % × (n − 1)) × valeur_de_rachat, nulle à partir de la 11e année · justification : Texte explicite : 5 % la 1re année, -0,5 %/an, nulle au-delà de la 10e année.",2025-06 Notice d'information Essen'Ciel.pdf,33
